subtopic,question,answer
1.5.1,"What does the Copyright, Designs and Patents Act 1988 protect?","Intellectual property — original works such as literary works, music, films, software (a literary work) and designs. It gives the creator control over copying, distributing, renting, performing and adapting their work."
1.5.1,Key feature of copyright under the CDPA 1988 (registration)?,Protection is automatic — you do not register a work; copyright exists as soon as the work is created. Copying or distributing without a licence or permission is an offence.
1.5.1,"Give an example of a Copyright, Designs and Patents Act breach.",Downloading films or music via torrents; installing one licensed copy of software on many machines; copying source code from a rival product; using a web image in a commercial product without permission.
1.5.1,Difference between copyright and a patent.,"Copyright is automatic, needs no registration, and protects original works (including the expression of an idea in source code). A patent must be applied for and granted, and protects a novel invention or technical process."
1.5.1,CDPA nuance: does copyright protect the idea or the expression?,"The expression, not the idea. Two programs can solve the same problem without infringing — copying the idea or algorithm is not infringement, but copying the actual code is. Note fair-dealing exceptions for research, review and education."
1.5.1,"How does the CDPA relate to open-source licences (GPL, MIT, Creative Commons)?","Open-source licences rely on copyright law: the author keeps copyright but grants specific permissions to use, modify and redistribute under conditions. The licence works because copyright lets the author set terms."
1.5.1,What does the Regulation of Investigatory Powers Act 2000 (RIPA) regulate?,"The powers of public bodies (police, intelligence agencies) to carry out surveillance and intercept communications — and it places limits and authorisation requirements on those powers to prevent abuse."
1.5.1,List key provisions of RIPA 2000.,Allows lawful interception of communications for national security/crime detection; requires ISPs to provide access to communications when lawfully required; allows demands for encryption keys in some cases; sets out who may authorise surveillance and for what purpose.
1.5.1,Give an example of a RIPA breach or abuse.,"A public authority intercepting communications without the proper authorisation, or for an improper purpose (e.g. a council monitoring residents over a trivial matter)."
1.5.1,Why is RIPA the hook for the privacy-vs-security debate?,"Interception powers help prevent terrorism and serious crime (benefit to society) but risk mass surveillance and erosion of privacy and civil liberties. RIPA has been partly superseded by the Investigatory Powers Act 2016, but for H446 you discuss RIPA."
1.5.2,Automation in the workforce — one benefit and one drawback.,"Benefit: higher productivity, consistency and lower cost; can create new roles (developers, robotics engineers, technicians). Drawback: job displacement of routine/lower-skilled workers (cashiers, factory staff) who may lack skills for the new jobs."
1.5.2,What is deskilling?,"Where jobs that remain need less skill because technology performs the complex part, reducing wages and job satisfaction — though it can also lead to upskilling as workers move to higher-value tasks."
1.5.2,Automated decision making — one benefit and one drawback.,"Benefit: fast, consistent, processes huge data sets, removes human tiredness/inconsistency. Drawback: lacks human judgement and empathy, hard to appeal ('computer says no'), and responsibility is unclear when it goes wrong (e.g. liability in a self-driving car crash)."
1.5.2,AI ethics — what is algorithmic / AI bias?,Systematic unfairness in AI output caused by biased training data. AI trained on biased historical data reproduces and amplifies that bias — e.g. a hiring AI that discriminates because past hiring was biased.
1.5.2,AI ethics — name two concerns besides bias.,"Accountability (who is responsible when AI causes harm — developer, company or user?); transparency (many AI systems are 'black boxes' whose decisions cannot be fully explained, making them hard to challenge); plus autonomous weapons and deepfakes."
1.5.2,Environmental effects of computing — one negative and one positive.,"Negative: e-waste with toxic materials, huge energy use by data centres and crypto-mining, and polluting rare-earth mining. Positive: remote/video working cuts travel, smart grids and sensors optimise energy use, and paperless processes."
1.5.2,What is e-waste and why is it a problem?,"Discarded electronic equipment from short upgrade cycles. It contains toxic materials (lead, mercury) and is often shipped to developing countries and dismantled unsafely, harming people and the environment."
1.5.2,Censorship and the internet — one argument for and one against.,"For: protects children, blocks illegal/extremist content, reduces harmful misinformation. Against: restricts freedom of speech and information, can be abused by governments to suppress dissent, and it is unclear who decides what is 'harmful'."
1.5.2,"Monopolies — concerns, and what counterbalances them.","Concerns: a single dominant company stifles competition and innovation, raises prices and causes vendor lock-in. Counterweight: open-source software (Linux, Firefox) is freely available to view, modify and redistribute, promoting choice — though it may lack guaranteed support."
1.5.2,Offshoring — one benefit and one drawback.,"Benefit (business/consumers): lower labour costs, cheaper products, 24-hour 'follow the sun' working, access to global talent. Drawback (home economy): local job losses, communication/time-zone issues, and concerns over data security and working conditions abroad."
1.5.2,Layoffs — one benefit and one drawback.,"Benefit (employers): reduced costs, leaner and more competitive operation. Drawback (employees/society): unemployment, loss of income, regional and social impact, and loss of skilled staff and morale."
1.5.2,"What is the digital divide, and how can it be reduced?","The gap between those with access to technology/the internet and the skills to use it, and those without (caused by income, geography, age, education, disability). Reduced by public Wi-Fi/libraries, subsidised devices, digital-skills education and rural broadband investment."
1.5.2,Privacy and surveillance — one benefit and one drawback.,"Benefit: personalised services, crime prevention, public-health monitoring. Drawback: loss of privacy, profiling, data breaches, a 'chilling effect' on behaviour, and potential for state or corporate misuse. Links to the DPA and RIPA."
1.5.1,Which law applies: an outsider hacks a company database; the company had stored it unencrypted?,"Both. The hacker breaches the Computer Misuse Act (unauthorised access, Offence 2 if with intent). The company breaches the Data Protection Act principle of integrity and confidentiality by not securing the data. Stating both wins marks."
1.5.2,Essay technique: what pattern earns Level 3 in a levels-of-response answer?,"Point → consequence → stakeholder → counter-point, repeated, then a conclusion that takes a clear position and justifies it. Balance (both benefits and drawbacks) and accurate terminology are essential; a one-sided list cannot reach Level 3."
1.5.2,Stakeholder checklist for an ethical scenario.,Consider: individuals/consumers/employees; businesses/employers; government/society; the environment; developing countries/future generations. Show how the same fact is a benefit to one party and a drawback to another.
1.5.2,"What do the assessment objectives AO1, AO2 and AO3 require in 1.5 essays?","AO1 = recall (state what the law is). AO2 = apply the knowledge to the given scenario. AO3 = evaluate/judge and reach a justified conclusion. Extended-response questions are mostly AO2/AO3 — apply and evaluate, do not just describe."
1.5.2,Common 1.5 exam mistakes to avoid.,One-sided answers; no justified conclusion; listing instead of developing points; confusing the four laws; saying 'it's illegal' without naming the Act/offence; treating GDPR and the DPA 2018 as identical; forgetting stakeholders.
2.1.1,What is abstraction?,"The process of removing or hiding unnecessary detail so that only the information relevant to the problem remains, letting us manage complexity."
2.1.1,Why is abstraction needed when solving a problem?,"Real problems contain too much detail to model directly; removing irrelevant detail makes a problem simpler, manageable, understandable and reusable, and lets people work at different levels."
2.1.1,How does an abstraction differ from reality?,"An abstraction is a simplified, idealised model that deliberately omits detail, so it never behaves exactly like reality; a model capturing every detail would be as complex as the original and useless."
2.1.1,What is representational abstraction?,"Removing unnecessary detail from a specific thing to leave a simpler representation of that particular problem, e.g. modelling a road network as a graph of nodes and weighted edges."
2.1.1,What is generalisation (categorisation) abstraction?,"Grouping things together by their shared characteristics to form a more general, reusable model, e.g. a general Account category shared by savings and current accounts."
2.1.1,Distinguish representational abstraction from generalisation abstraction.,Representational = simplify one specific thing by removing detail; generalisation = group many things by shared features to make a general model.
2.1.1,What is the key difference between abstraction and decomposition?,Abstraction removes or hides unnecessary detail to simplify; decomposition breaks a large problem into smaller sub-problems. They are different skills and must not be blurred.
2.1.1,"In the London Underground map, what is kept and what is removed?","Kept: station order, which line each station is on, interchange points. Removed: real geography, true distances, tunnel curves, surface streets - irrelevant to choosing trains."
2.1.2,What does 'thinking ahead' mean?,"Planning a solution before coding by anticipating what it will need: inputs, outputs, preconditions, opportunities for caching and reusable components."
2.1.2,What is an input in a system?,Data that must be supplied to a system for it to produce a result. Note: a process such as 'validate data' is not an input.
2.1.2,What is an output?,"A result that a system must produce, e.g. a confirmation message, a receipt, an updated display."
2.1.2,What is a precondition?,"A condition that must already be true before a process can run correctly, e.g. a binary search requires that the list is already sorted."
2.1.2,Why state preconditions for a routine?,"So you can assume them inside the routine rather than re-checking, simplifying the code and clarifying the routine's requirements."
2.1.2,What is caching?,Storing the results of expensive or frequently-used operations in fast storage so they can be reused without recomputing or re-fetching.
2.1.2,What are the benefits of caching?,"Faster response, less repeated computation, and less network or disk traffic because data/results are reused instead of regenerated."
2.1.2,What are the trade-offs of caching?,"It uses extra storage, and cached data can become stale (out of date) if the underlying source changes, requiring a cache-invalidation/refresh strategy."
2.1.2,What is stale data?,Cached data that is out of date because the underlying source has changed since it was cached.
2.1.2,What is a reusable program component?,"A self-contained, generalised module (procedure, function, class or library) that can be used in this and future programs."
2.1.2,What are the benefits of reusable components?,"Less development time, fewer bugs (code is already tested), consistency across the system, improved reliability and easier maintenance."
2.1.3,What does 'thinking procedurally' mean?,"Breaking a problem into an ordered sequence of steps and sub-procedures - identifying problem components, solution components, and the correct order."
2.1.3,What is decomposition?,"Breaking a large problem into smaller, more manageable sub-problems, each solved by a sub-procedure, making it easier to understand, divide between a team, and reuse."
2.1.3,What is a sub-procedure (subroutine)?,A named block of code that solves one sub-problem and is called by the main program.
2.1.3,Why does the order of steps matter in a solution?,"Some steps depend on the output of earlier steps and cannot be reordered - e.g. you must take payment before issuing a ticket, or boil water before pouring it."
2.1.4,What does 'thinking logically' mean?,"Identifying the points in a problem where the path of execution depends on a condition, and stating the conditions and their outcomes."
2.1.4,What is a decision point?,"A place where the flow of execution can branch in different directions depending on whether a condition is true or false (an IF, CASE/SWITCH, or loop test)."
2.1.4,What is flow of control?,"The order in which a program's statements are executed, shaped by its decision points (selection and iteration)."
2.1.4,Why must conditions at a decision point be stated exactly?,A small error such as using > instead of >= changes the behaviour; exam answers need the actual Boolean test and the outcome of both branches.
2.1.5,What does 'thinking concurrently' mean?,Spotting which parts of a problem can be carried out at the same time (in parallel or interleaved) rather than one after another.
2.1.5,Which tasks can run concurrently?,Independent tasks that do not depend on each other's output and do not compete for the same single resource; tasks with a data dependency must stay sequential.
2.1.5,What are the benefits of concurrent processing?,"Faster overall completion / better throughput, better use of multi-core hardware, and a more responsive system (the UI stays usable while a long task runs)."
2.1.5,What are the trade-offs of concurrent processing?,"Harder to design, program and debug; can cause race conditions and deadlock; results may need synchronising; and overhead can mean it is not always faster (single core only time-slices)."
2.1.5,What is a race condition?,A fault where the result depends on the unpredictable timing of concurrent tasks accessing shared data.
2.1.5,What is deadlock?,"A standstill where concurrent tasks each wait for a resource the other holds, so none can proceed."
2.1.5,What is the difference between true parallelism and concurrency via time-slicing?,True parallelism = multiple cores running tasks literally simultaneously; time-slicing = a single core rapidly switching between tasks to give the illusion of simultaneity.
2.1.2,"APPLY: A cinema booking site - give one input, one output, one precondition.",Input: number of seats / film choice / payment details. Output: seating map / booking confirmation. Precondition: the chosen showing must exist and have enough free seats before payment runs.
2.1.1,"APPLY: For a chess game, give a representational and a generalisation abstraction.","Representational: board as an 8x8 2-D array, ignoring piece textures. Generalisation: a general Piece category (colour, position, getLegalMoves) specialised into Pawn, Knight, etc."
2.1.2,APPLY: A hotel booking system - name a precondition before taking payment.,The room must be free for every night of the requested date range before the payment routine runs.
2.1.4,APPLY: An ATM withdrawal - state one decision point with its condition.,"IF amount <= balance AND amount <= dailyLimit then dispense, ELSE refuse; or IF cashAvailable >= amount then dispense, ELSE show 'machine empty'."
2.1.5,APPLY: A weather website - which tasks are concurrent and which must wait?,"Concurrent (independent): fetch radar image, forecast data, news ticker, advert banner. Sequential: generating the temperature graph must wait for the forecast data (data dependency)."
2.2.1,Name the three basic programming constructs.,"Sequence, selection (branching) and iteration (looping)."
2.2.1,What is sequence?,"Instructions carried out one after another, in the order written; order matters."
2.2.1,Difference between count-controlled and condition-controlled iteration?,"Count-controlled repeats a fixed, known number of times (for); condition-controlled repeats until a condition changes (while / do...until)."
2.2.1,Difference between a while loop and a do...until loop?,while tests the condition at the start (may run zero times); do...until tests at the end (always runs at least once).
2.2.1,Which loop is best for input validation and why?,"do...until, because you must ask for input at least once before you can test it."
2.2.1,What is recursion?,A subroutine (function or procedure) that calls itself to solve a problem.
2.2.1,What two parts must every correct recursive subroutine have?,A base case (stops the recursion) and a general/recursive case (calls itself with a value closer to the base case).
2.2.1,What happens if a recursive routine has no reachable base case?,"It calls itself indefinitely, filling the call stack until memory runs out — a stack overflow."
2.2.1,How is the call stack used in recursion?,"Each call pushes a stack frame (parameters, local variables, return address); frames are popped in reverse (LIFO) order as calls return."
2.2.1,Give two differences between recursion and iteration.,Recursion uses more memory (a frame per call) and is generally slower; iteration uses one set of variables and is generally faster.
2.2.1,What is variable scope?,The region of a program in which a variable can be accessed (is visible).
2.2.1,What is a local variable?,"A variable declared inside a subroutine, accessible only within it and existing only while it runs."
2.2.1,What is a global variable?,"A variable declared in the main program, accessible (and changeable) anywhere in the program."
2.2.1,Give two reasons to prefer local variables.,"Fewer side effects / accidental changes, memory freed when the subroutine ends, more modular and easier to debug (any two)."
2.2.1,What is modularity and give one benefit.,"Breaking a large program into smaller self-contained subroutines, each doing one task; benefit: easier to write/test/debug, reuse, or team parallel work."
2.2.1,Difference between a function and a procedure?,A function returns a (single) value; a procedure performs a task but returns no value.
2.2.1,Difference between a parameter and an argument?,A parameter is the variable in the subroutine's definition; an argument is the actual value supplied when it is called.
2.2.1,What does passing by value mean?,A copy of the argument's value is passed; changes inside the subroutine do not affect the original variable.
2.2.1,What does passing by reference mean?,The memory address of the original variable is passed; changes inside the subroutine do affect the original.
2.2.1,Give one advantage each of by value and by reference.,"By value: safer, avoids unintended side effects. By reference: efficient for large data (no copy) and can return changes through the parameter."
2.2.1,What is an IDE?,"Integrated Development Environment — one application giving the tools to write, test and debug code."
2.2.1,Name three IDE debugging features.,"Breakpoints (pause at a line), stepping (run one line at a time), variable watch/watch window (inspect values at run time)."
2.2.1,Name two IDE editing features that speed up writing code.,"Syntax highlighting, code completion/auto-complete (intellisense), auto-indentation/pretty-printing, error highlighting (any two)."
2.2.1,What is a class and what is an object?,A class is a template/blueprint defining attributes and methods; an object is a specific instance of a class created at run time.
2.2.1,Difference between an attribute and a method?,An attribute is a data item (variable) belonging to an object; a method is a subroutine (behaviour) belonging to a class.
2.2.1,What is a constructor?,"A special method that runs when an object is created, used to initialise its attributes (often 'new' in OCR ERL)."
2.2.1,What is encapsulation?,"Bundling attributes and methods inside a class and keeping attributes private, accessed only through public methods (data hiding)."
2.2.1,What are getters and setters?,Public methods that read (getter/accessor) and write (setter/mutator) private attributes in a controlled way; a setter can validate first.
2.2.1,What is inheritance?,"A subclass (child) acquiring the attributes and methods of a superclass (parent), modelling an 'is-a' relationship and promoting reuse."
2.2.1,What is polymorphism?,The same method call behaving differently depending on the object's class; most commonly achieved by overriding a method in a subclass.
2.2.1,Difference between overriding and overloading?,Overriding: a subclass replaces an inherited method with the same name and parameters. Overloading: several methods share a name but have different parameter lists.
2.2.2,List three features that make a problem solvable by computational methods.,"Can be decomposed into sub-problems, has clear inputs/processes/outputs, is repetitive/rule-based, useful abstractions can be made, data can be structured (any three)."
2.2.2,What is decomposition?,"Breaking a complex problem into smaller, more manageable sub-problems that can each be solved and tested individually."
2.2.2,What is divide and conquer?,"Repeatedly dividing a problem into parts, solving each part, then combining the results (e.g. binary search, merge sort)."
2.2.2,Difference between decomposition and divide and conquer?,Decomposition breaks a problem into different sub-tasks; divide and conquer breaks it into smaller instances of the same problem and combines their solutions.
2.2.2,What is abstraction?,Removing or hiding unnecessary detail so you focus only on the information needed to solve the problem.
2.2.2,Name the two types of abstraction.,"Representational abstraction (remove unneeded detail, e.g. Tube map) and abstraction by generalisation (group by shared characteristics)."
2.2.2,What is backtracking and where is it used?,"Building a solution step by step and reversing on dead ends to try alternatives; used in mazes, N-Queens, Sudoku and pathfinding."
2.2.2,What is data mining and where is it used?,Searching large data sets to discover hidden patterns/trends; used in supermarket loyalty-card analysis and fraud detection.
2.2.2,What is a heuristic and where is it used?,A rule-of-thumb giving a good-enough (not guaranteed optimal) answer quickly; used in satnav routing (A*) and the Travelling Salesman Problem.
2.2.2,What is performance modelling and where is it used?,Using a mathematical/computational model to predict how a system will perform instead of testing the real thing; used for server load or aircraft systems.
2.2.2,What is pipelining and where is it used?,Splitting a process into stages so different items are processed at the same time; used in the CPU fetch-decode-execute cycle.
2.2.2,What is visualisation and where is it used?,"Representing data graphically (charts, maps, heat maps) to reveal patterns for humans; used for sales trends or website click heat maps."
2.2.2,Apply: a satnav must route across a huge road network where the exact route is too slow to compute. Which method and why?,A heuristic — it finds a good-enough route quickly because computing the optimal route is intractable for a large network.
2.2.1,"Apply: trace factorial(3) where factorial(n)=n*factorial(n-1), base case n==0 returns 1.","factorial(0)=1, factorial(1)=1, factorial(2)=2, factorial(3)=6."
2.2.1,Apply: why does deep recursion risk a stack overflow?,Each active call adds a frame to the call stack; too many simultaneous frames exhaust the available memory.
2.3.1,What does Big O notation describe?,"How an algorithm's time or space requirement grows as the input size n increases, expressed for the worst case, ignoring constants and lower-order terms."
2.3.1,Why do we drop constants and lower-order terms in Big O? (e.g. 3n²+5n+17),"Because we care about the rate of growth for large n; the dominant term (n²) decides scalability, so 3n²+5n+17 simplifies to O(n²)."
2.3.1,O(1) — name and behaviour?,"Constant time: execution time does not change with n. Example: accessing array[i], stack push/pop."
2.3.1,O(log n) — name and behaviour?,Logarithmic time: grows very slowly; doubling n adds only one step. Example: binary search.
2.3.1,O(n) — name and behaviour?,"Linear time: doubling n doubles the time. Example: linear search, a single loop over a list."
2.3.1,O(n²) — name and behaviour?,"Polynomial (quadratic) time: doubling n quadruples the time. Example: bubble/insertion sort, nested loops."
2.3.1,O(2ⁿ) — name and behaviour?,"Exponential time: adding one item doubles the time; intractable for large n. Example: naive recursive Fibonacci, brute-force travelling salesman."
2.3.1,"Order these from fastest to slowest growth: O(n²), O(1), O(2ⁿ), O(n), O(log n)",O(1) < O(log n) < O(n) < O(n²) < O(2ⁿ).
2.3.1,What are tractable and intractable problems?,"Tractable: solvable in polynomial time or better. Intractable: no known polynomial-time solution (only exponential or worse), so not solvable in reasonable time for large n."
2.3.1,How does linear search work (one line)?,Check each element in turn from the start until the target is found or the end is reached.
2.3.1,"Linear search — best, average, worst case, and does it need sorted data?",Best O(1) (first element); average and worst O(n) (last or absent). It does NOT need sorted data.
2.3.1,How does binary search work (one line)?,"Repeatedly examine the middle element of a sorted list and discard the half that cannot contain the target, halving the search space each pass."
2.3.1,Binary search — precondition?,The list must be sorted.
2.3.1,"Binary search — best, average, worst case?",Best O(1) (target is the first middle); average and worst O(log n) (search space halves each step).
2.3.1,Big O of binary search?,O(log n).
2.3.1,When does linear search beat binary search?,When data is unsorted and searched only once: a single O(n) linear search is cheaper than sorting first (O(n log n)) then binary searching. Binary search pays off when the same sorted data is searched many times.
2.3.1,How does bubble sort work (one line)?,"Repeatedly step through the list comparing adjacent pairs and swapping any in the wrong order, so the largest element bubbles to the end each pass."
2.3.1,"Bubble sort — best, average, worst, space?","Best O(n) (already sorted, with swap flag); average and worst O(n²); space O(1)."
2.3.1,Why is bubble sort's best case O(n) only with a swap flag?,The flag detects a pass with no swaps and stops early; without it bubble sort is O(n²) even on a sorted list.
2.3.1,How does insertion sort work (one line)?,"Build a sorted section at the front by taking the next element and inserting it into its correct position, shifting larger elements right."
2.3.1,"Insertion sort — best, average, worst, space, and when to use?",Best O(n) (nearly sorted); average and worst O(n²); space O(1). Good for small or nearly-sorted lists as it is in-place.
2.3.1,How does merge sort work (one line)?,"Divide and conquer: recursively split the list in half until single elements, then merge the sublists back together in sorted order."
2.3.1,"Merge sort — best, average, worst, space?",O(n log n) in all cases (best/average/worst); space O(n) for the temporary merge arrays.
2.3.1,Why does merge sort guarantee O(n log n)?,"It always splits the list exactly in half, so the depth of splitting is log n and each level does O(n) merging work, regardless of input order."
2.3.1,How does quick sort work (one line)?,"Divide and conquer: choose a pivot, partition items smaller to its left and larger to its right, then recursively quicksort each partition."
2.3.1,"Quick sort — best, average, worst, space?",Best and average O(n log n); worst O(n²); space O(log n) (recursion stack).
2.3.1,When does quick sort hit its O(n²) worst case?,"When the pivot repeatedly splits the list unevenly, e.g. always picking the smallest/largest element on already-sorted data."
2.3.1,Merge sort vs quick sort — key trade-off?,"Merge sort guarantees O(n log n) but needs O(n) extra space; quick sort sorts in place (O(log n) space) and is usually fastest, but degrades to O(n²) in the worst case."
2.3.1,Which standard sort is not generally stable?,"Quick sort. Bubble, insertion and merge sort are stable."
2.3.1,Stack — what does LIFO mean and Big O of operations?,"Last In, First Out: items added/removed at the top. push, pop, peek, isEmpty are all O(1)."
2.3.1,"Queue — FIFO meaning, Big O, and what does a circular queue use MOD for?","First In, First Out: added at the rear (enQueue), removed from the front (deQueue); both O(1). A circular queue uses MOD to wrap the pointers around the array and reuse freed space."
2.3.1,Linked list — structure and Big O of traversal vs insert?,"Each node holds data and a pointer to the next; a start pointer marks the head, null marks the end. Traversal/search is O(n); insert/delete given the node is O(1) (just re-point)."
2.3.1,Pre-order traversal — order and use?,"Node, Left, Right. Used to copy a tree / produce prefix (Polish) expressions."
2.3.1,In-order traversal — order and use?,"Left, Node, Right. Outputs a binary search tree in ascending sorted order."
2.3.1,Post-order traversal — order and use?,"Left, Right, Node. Used to delete a tree and to evaluate Reverse Polish (postfix) expressions. This is the depth-first traversal named in the spec."
2.3.1,"Pre/in/post-order of tree (50:(30:(20,40),70:(60,80)))?","Pre: 50,30,20,40,70,60,80. In: 20,30,40,50,60,70,80. Post: 20,40,30,60,80,70,50."
2.3.1,What is breadth-first traversal (BFS) and which structure does it use?,"Visit nodes level by level, left to right, using a queue. For the tree 50:(30:(20,40),70:(60,80)) → 50,30,70,20,40,60,80."
2.3.1,Which data structure does depth-first use vs breadth-first?,Depth-first uses a stack (or recursion's call stack); breadth-first uses a queue.
2.3.1,Binary search tree — search/insert Big O?,O(log n) average on a balanced tree; O(n) worst case on a degenerate/unbalanced tree. Traversal visits every node: O(n).
2.3.1,What does Dijkstra's algorithm find?,The shortest path from a start node to all other nodes in a weighted graph with non-negative edge weights.
2.3.1,Dijkstra — one-line method?,"Keep tentative distances; repeatedly visit the unvisited node with the smallest tentative distance, relax its neighbours, then mark it visited (final)."
2.3.1,Dijkstra — complexity?,O(n²) with a simple distance array; O((V+E) log V) with a priority queue (binary heap).
2.3.1,What is A* and how does it differ from Dijkstra?,"A* is an informed extension of Dijkstra for a single start and single goal: it adds a heuristic estimate of the remaining cost, so it searches towards the goal and usually explores fewer nodes."
2.3.1,A* — what is the cost function f(n)?,"f(n) = g(n) + h(n), where g(n) is the actual cost from the start and h(n) is the heuristic estimate of the remaining cost to the goal. A* expands the node with the lowest f(n)."
2.3.1,What is an admissible heuristic and why does it matter?,One that never overestimates the true remaining cost. A* is guaranteed to find the optimal path only if the heuristic is admissible.
2.3.1,What happens to A* if h(n) = 0 for all nodes?,It behaves identically to Dijkstra's algorithm (searching outward in all directions).
